id,publication_year,cited_by_count,author_ids
https://openalex.org/W3032762902,2020.0,266,"[""https://openalex.org/A5005635678"", ""https://openalex.org/A5101841217"", ""https://openalex.org/A5076631295"", ""https://openalex.org/A5054459766"", ""https://openalex.org/A5000465145"", ""https://openalex.org/A5084102683"", ""https://openalex.org/A5090631705""]"
https://openalex.org/W2083776151,1985.0,231,"[""https://openalex.org/A5109978106"", ""https://openalex.org/A5000415140""]"
https://openalex.org/W2138118069,2004.0,231,"[""https://openalex.org/A5017817794"", ""https://openalex.org/A5036233252"", ""https://openalex.org/A5000424744""]"
https://openalex.org/W2019080383,2003.0,220,"[""https://openalex.org/A5103551927"", ""https://openalex.org/A5000454484""]"
https://openalex.org/W3149746057,2021.0,177,"[""https://openalex.org/A5048165961"", ""https://openalex.org/A5010601798"", ""https://openalex.org/A5000465232"", ""https://openalex.org/A5015171883""]"
https://openalex.org/W2154718035,2013.0,172,"[""https://openalex.org/A5057481978"", ""https://openalex.org/A5000272110""]"
https://openalex.org/W2877214426,2018.0,156,"[""https://openalex.org/A5061127138"", ""https://openalex.org/A5000327528""]"
https://openalex.org/W2292491317,2015.0,146,"[""https://openalex.org/A5061127138"", ""https://openalex.org/A5000327528""]"
https://openalex.org/W2110634499,2012.0,143,"[""https://openalex.org/A5000465145"", ""https://openalex.org/A5048453813""]"
https://openalex.org/W2384663018,2016.0,127,"[""https://openalex.org/A5101941603"", ""https://openalex.org/A5000403961"", ""https://openalex.org/A5101609697""]"
https://openalex.org/W2107192352,2015.0,123,"[""https://openalex.org/A5014664928"", ""https://openalex.org/A5086587972"", ""https://openalex.org/A5000424744""]"
https://openalex.org/W3036411661,2020.0,123,"[""https://openalex.org/A5024617531"", ""https://openalex.org/A5000440246"", ""https://openalex.org/A5008805433""]"
https://openalex.org/W2004200948,2014.0,122,"[""https://openalex.org/A5007875474"", ""https://openalex.org/A5019439879"", ""https://openalex.org/A5000465145""]"
https://openalex.org/W2061098512,2013.0,110,"[""https://openalex.org/A5031269302"", ""https://openalex.org/A5000454484""]"
https://openalex.org/W2165729504,2012.0,107,"[""https://openalex.org/A5000327528"", ""https://openalex.org/A5023571961""]"
https://openalex.org/W2147945459,2008.0,103,"[""https://openalex.org/A5055053078"", ""https://openalex.org/A5000454484""]"
https://openalex.org/W2165702433,2012.0,102,"[""https://openalex.org/A5000327528"", ""https://openalex.org/A5023571961""]"
https://openalex.org/W2065476635,2013.0,97,"[""https://openalex.org/A5031269302"", ""https://openalex.org/A5000454484""]"
https://openalex.org/W4206133575,2022.0,93,"[""https://openalex.org/A5024617531"", ""https://openalex.org/A5000440246"", ""https://openalex.org/A5008805433""]"
https://openalex.org/W2154103336,2009.0,91,"[""https://openalex.org/A5000474356"", ""https://openalex.org/A5084279065"", ""https://openalex.org/A5047709762""]"
https://openalex.org/W2000001027,2013.0,85,"[""https://openalex.org/A5000465232"", ""https://openalex.org/A5028306705""]"
https://openalex.org/W2157505157,2010.0,82,"[""https://openalex.org/A5031269302"", ""https://openalex.org/A5000454484""]"
https://openalex.org/W2512849486,2016.0,76,"[""https://openalex.org/A5101434141"", ""https://openalex.org/A5000327528""]"
https://openalex.org/W2794861508,2018.0,76,"[""https://openalex.org/A5101434141"", ""https://openalex.org/A5061127138"", ""https://openalex.org/A5000327528"", ""https://openalex.org/A5012915897"", ""https://openalex.org/A5038669899""]"
https://openalex.org/W4252858751,2018.0,76,"[""https://openalex.org/A5005635678"", ""https://openalex.org/A5101841217"", ""https://openalex.org/A5076631295"", ""https://openalex.org/A5054459766"", ""https://openalex.org/A5000465145"", ""https://openalex.org/A5090631705""]"
https://openalex.org/W2194892124,2015.0,74,"[""https://openalex.org/A5101434141"", ""https://openalex.org/A5000327528""]"
https://openalex.org/W4238188751,2018.0,73,"[""https://openalex.org/A5101841217"", ""https://openalex.org/A5076631295"", ""https://openalex.org/A5005635678"", ""https://openalex.org/A5054459766"", ""https://openalex.org/A5000465145"", ""https://openalex.org/A5090631705""]"
https://openalex.org/W2921600127,2018.0,63,"[""https://openalex.org/A5076631295"", ""https://openalex.org/A5101841217"", ""https://openalex.org/A5000465145"", ""https://openalex.org/A5054459766"", ""https://openalex.org/A5005635678"", ""https://openalex.org/A5084102683"", ""https://openalex.org/A5090631705""]"
https://openalex.org/W2979342890,2019.0,56,"[""https://openalex.org/A5008805433"", ""https://openalex.org/A5000440246"", ""https://openalex.org/A5024617531""]"
https://openalex.org/W3034616536,2021.0,55,"[""https://openalex.org/A5015520086"", ""https://openalex.org/A5000327528""]"
https://openalex.org/W4312193332,2022.0,53,"[""https://openalex.org/A5028901479"", ""https://openalex.org/A5000465689""]"
https://openalex.org/W3020313294,2020.0,52,"[""https://openalex.org/A5008397446"", ""https://openalex.org/A5000350723"", ""https://openalex.org/A5039481100""]"
https://openalex.org/W2089220910,2011.0,45,"[""https://openalex.org/A5015805381"", ""https://openalex.org/A5000424744""]"
https://openalex.org/W2597226568,2016.0,45,"[""https://openalex.org/A5069623259"", ""https://openalex.org/A5000465145"", ""https://openalex.org/A5101841217""]"
